sentence	mood	prob
"How I wonder what you're at!"""	angry	[0.13309436 0.16311726 0.2509364  0.07283361 0.09830704 0.2817113 ]
You know the song, perhaps?'	neutral	[0.91120315 0.07019874 0.01289068 0.0022539  0.00123047 0.00222304]
'I've heard something like it,' said Alice.	neutral	[0.89465916 0.01061358 0.04194202 0.00487106 0.01764794 0.0302661 ]
"'It goes on, you know,' the Hatter continued, 'in this way:--  ""Up above the world you fly, Like a tea-tray in the sky."	neutral	"[7.6990771e-01 2.2805373e-01 1.0446749e-03 9.0833119e-04 9.6485337e-06
 7.5919248e-05]"
"Twinkle, twinkle--""'  Here the Dormouse shook itself, and began singing in its sleep 'Twinkle, twinkle, twinkle, twinkle--' and went on so long that they had to pinch it to make it stop."	happy	[0.16271596 0.5819843  0.16944702 0.02625439 0.0426955  0.01690279]
"'Well, I'd hardly finished the first verse,' said the Hatter, 'when the Queen jumped up and bawled out, ""He's murdering the time!"	happy	[0.21827872 0.30938473 0.12652941 0.0577863  0.03704065 0.25098017]
"Off with his head!""'"	neutral	[0.60347694 0.32827348 0.04412059 0.00883481 0.00459932 0.0106948 ]
'How dreadfully savage!'	neutral	[0.3119128  0.1087815  0.2589447  0.06111239 0.1037373  0.15551129]
exclaimed Alice.	neutral	[0.8900185  0.00245666 0.01350767 0.00165795 0.00306719 0.08929197]
'And ever since that,' the Hatter went on in a mournful tone, 'he won't do a thing I ask!	sad	[0.15960878 0.0204245  0.02620458 0.56105226 0.11026765 0.12244225]
It's always six o'clock now.'	neutral	[0.9333858  0.02260326 0.03629886 0.00159622 0.00332789 0.00278797]
A bright idea came into Alice's head.	neutral	"[9.6669489e-01 2.3019012e-02 6.5452652e-03 1.9379370e-04 6.1042828e-04
 2.9366575e-03]"
'Is that the reason so many tea-things are put out here?'	neutral	[0.90623033 0.01165343 0.05549691 0.00123003 0.01362621 0.0117632 ]
she asked.	neutral	[0.7117131  0.03118592 0.07694369 0.03153408 0.05030803 0.09831522]
'Yes, that's it,' said the Hatter with a sigh: 'it's always tea-time, and we've no time to wash the things between whiles.'	neutral	[0.89892817 0.04039542 0.0117761  0.03029528 0.00592251 0.01268253]
'Then you keep moving round, I suppose?'	neutral	"[9.7752327e-01 1.5689418e-02 4.2796433e-03 7.9188403e-04 7.4990693e-04
 9.6587068e-04]"
said Alice.	neutral	[0.82278717 0.04625537 0.0355879  0.00836474 0.01682043 0.0701844 ]
'Exactly so,' said the Hatter: 'as the things get used up.'	neutral	[0.88439673 0.07190879 0.0144309  0.00372447 0.00220626 0.02333286]
'But what happens when you come to the beginning again?'	neutral	[0.72830224 0.0969559  0.0978794  0.02422515 0.02960546 0.0230318 ]
Alice ventured to ask.	neutral	"[9.8380208e-01 7.3840236e-03 5.3578317e-03 7.2874216e-04 1.9705729e-03
 7.5667177e-04]"
'Suppose we change the subject,' the March Hare interrupted, yawning.	neutral	[0.5290652  0.01723608 0.07707908 0.00455833 0.01344578 0.35861552]
'I'm getting tired of this.	neutral	"[8.3141810e-01 1.6112314e-01 1.9752486e-03 1.5992367e-03 1.5060291e-04
 3.7336324e-03]"
I vote the young lady tells us a story.'	neutral	[0.7165788  0.26181325 0.0107477  0.00748216 0.00155574 0.00182231]
'I'm afraid I don't know one,' said Alice, rather alarmed at the proposal.	neutral	[0.7314841  0.01846671 0.15333574 0.0038553  0.07741118 0.015447  ]
'Then the Dormouse shall!'	neutral	[0.5967914  0.09568443 0.1863903  0.01650031 0.07073317 0.03390048]
they both cried.	happy	[0.35650802 0.3848015  0.0087005  0.2359576  0.00626029 0.00777207]
'Wake up, Dormouse!'	neutral	[0.6869708  0.03983155 0.0614186  0.0528212  0.1375715  0.02138649]
And they pinched it on both sides at once.	neutral	[0.7438684  0.02355751 0.07171033 0.01270551 0.02735015 0.12080801]
The Dormouse slowly opened his eyes.	neutral	[0.7808279  0.03822662 0.0299948  0.09341839 0.03580052 0.0217318 ]
'I wasn't asleep,' he said in a hoarse, feeble voice: 'I heard every word you fellows were saying.'	neutral	[0.55228525 0.02251908 0.10630369 0.03240896 0.08294646 0.20353654]
'Tell us a story!'	neutral	[0.7221909  0.16147752 0.07615828 0.00298558 0.01036683 0.02682088]
said the March Hare.	neutral	[0.4876788  0.05233866 0.04738827 0.02287053 0.0226591  0.3670647 ]
'Yes, please do!'	neutral	[0.73579675 0.16719812 0.04294642 0.01459758 0.00786226 0.03159895]
pleaded Alice.	neutral	[0.873399   0.00484613 0.03290748 0.00118935 0.00488008 0.08277786]
'And be quick about it,' added the Hatter, 'or you'll be asleep again before it's done.'	neutral	[0.7089598  0.03427647 0.04237756 0.0102781  0.01999036 0.18411772]
'Once upon a time there were three little sisters,' the Dormouse began in a great hurry; 'and their names were Elsie, Lacie, and Tillie; and they lived at the bottom of a well--'  'What did they live on?'	neutral	[0.8080194  0.14653356 0.00278316 0.04018405 0.00095229 0.00152752]
said Alice, who always took a great interest in questions of eating and drinking.	neutral	[0.8752322  0.02320235 0.04173306 0.00979656 0.01109515 0.03894067]
'They lived on treacle,' said the Dormouse, after thinking a minute or two.	neutral	[0.95550287 0.01547475 0.01102997 0.00555602 0.00598708 0.00644937]
'They couldn't have done that, you know,' Alice gently remarked; 'they'd have been ill.'  'So they were,' said the Dormouse; 'VERY ill.'  Alice tried to fancy to herself what such an extraordinary ways of living would be like, but it puzzled her too much, so she went on: 'But why did they live at the bottom of a well?'	neutral	[0.43900356 0.29316902 0.02179913 0.22025302 0.01416906 0.01160613]
'Take some more tea,' the March Hare said to Alice, very earnestly.	neutral	[0.8446383  0.02687871 0.04163009 0.02645896 0.05116469 0.00922925]
'I've had nothing yet,' Alice replied in an offended tone, 'so I can't take more.'	neutral	[0.801954   0.04264417 0.02265954 0.01422611 0.01066196 0.10785425]
'You mean you can't take LESS,' said the Hatter: 'it's very easy to take MORE than nothing.'	neutral	[0.69327635 0.0270893  0.04605744 0.02287814 0.03731981 0.17337893]
'Nobody asked YOUR opinion,' said Alice.	neutral	"[7.5889575e-01 2.4349862e-03 7.3671469e-04 4.3236407e-05 1.2431979e-04
 2.3776504e-01]"
'Who's making personal remarks now?'	neutral	"[9.6538657e-01 1.5014836e-02 8.1331460e-03 2.0073366e-04 1.0830733e-03
 1.0181696e-02]"
the Hatter asked triumphantly.	neutral	[0.74046934 0.03020148 0.06912906 0.00462359 0.02936688 0.12620965]
Alice did not quite know what to say to this: so she helped herself to some tea and bread-and-butter, and then turned to the Dormouse, and repeated her question.	neutral	[0.94103414 0.00966474 0.01275522 0.01437682 0.00828159 0.01388756]
'Why did they live at the bottom of a well?'	neutral	[0.7722081  0.02856848 0.07491796 0.02761314 0.06930318 0.02738909]
The Dormouse again took a minute or two to think about it, and then said, 'It was a treacle-well.'	neutral	"[8.7236428e-01 1.1235165e-01 1.3509246e-02 7.7603036e-04 3.1096902e-04
 6.8784616e-04]"
'There's no such thing!'	neutral	[0.41353074 0.02770156 0.17943746 0.01257493 0.05048351 0.3162718 ]
Alice was beginning very angrily, but the Hatter and the March Hare went 'Sh!	neutral	[0.49800065 0.11943626 0.20971684 0.01963092 0.09693344 0.05628196]
sh!'	neutral	[0.6133946  0.15515256 0.07772682 0.03559733 0.02670868 0.09142002]
and the Dormouse sulkily remarked, 'If you can't be civil, you'd better finish the story for yourself.'	neutral	[0.8469187  0.04044811 0.01098181 0.02449778 0.005828   0.07132553]
'No, please go on!'	neutral	[0.8079458  0.01320313 0.03661543 0.03436361 0.03045585 0.07741617]
Alice said very humbly; 'I won't interrupt again.	neutral	"[9.3829262e-01 4.7323655e-02 3.2846699e-03 7.5214570e-03 4.3819746e-04
 3.1393275e-03]"
I dare say there may be ONE.'	neutral	[0.75531965 0.06788058 0.11738859 0.01735429 0.03709214 0.00496476]
'One, indeed!'	neutral	[0.4959789  0.35366654 0.11753464 0.0163673  0.00551898 0.01093368]
said the Dormouse indignantly.	neutral	[0.5264315  0.05186759 0.0744538  0.11747417 0.09556014 0.1342128 ]
However, he consented to go on.	neutral	[0.9480858  0.00738968 0.01118905 0.00966194 0.01681308 0.00686053]
'And so these three little sisters--they were learning to draw, you know--'  'What did they draw?'	neutral	"[8.6459029e-01 1.0865256e-01 3.3567310e-03 2.2446815e-02 5.7122682e-04
 3.8237619e-04]"
said Alice, quite forgetting her promise.	neutral	[0.6953507  0.03133283 0.1374377  0.00799085 0.10013195 0.02775602]
'Treacle,' said the Dormouse, without considering at all this time.	neutral	[0.52748203 0.01821616 0.19658722 0.02139162 0.18933801 0.04698498]
'I want a clean cup,' interrupted the Hatter: 'let's all move one place on.'	neutral	[0.8383681  0.00811593 0.03089737 0.0015979  0.02512236 0.09589843]
He moved on as he spoke, and the Dormouse followed him: the March Hare moved into the Dormouse's place, and Alice rather unwillingly took the place of the March Hare.	neutral	[0.79408705 0.02157915 0.0087204  0.05309686 0.00768973 0.11482675]
The Hatter was the only one who got any advantage from the change: and Alice was a good deal worse off than before, as the March Hare had just upset the milk-jug into his plate.	surprised	[0.3241502  0.07674795 0.44278562 0.00494225 0.11996347 0.03141048]
Alice did not wish to offend the Dormouse again, so she began very cautiously: 'But I don't understand.	neutral	[0.7394638  0.03333049 0.04808636 0.04573043 0.05162326 0.08176576]
Where did they draw the treacle from?'	neutral	[0.6625953  0.25096312 0.06732683 0.0007565  0.00161379 0.01674451]
'You can draw water out of a water-well,' said the Hatter; 'so I should think you could draw treacle out of a treacle-well--eh, stupid?'	neutral	[0.86490685 0.0383315  0.01185623 0.00127384 0.00160521 0.0820263 ]
'But they were IN the well,' Alice said to the Dormouse, not choosing to notice this last remark.	neutral	[0.8418848  0.03117026 0.06351526 0.00877264 0.02327431 0.03138278]
'Of course they were', said the Dormouse; '--well in.'	neutral	[0.7147238  0.19226755 0.02284986 0.05635021 0.00394365 0.00986491]
This answer so confused poor Alice, that she let the Dormouse go on for some time without interrupting it.	angry	[0.46311513 0.0273194  0.03119222 0.00071245 0.00062463 0.47703624]
'They were learning to draw,' the Dormouse went on, yawning and rubbing its eyes, for it was getting very sleepy; 'and they drew all manner of things--everything that begins with an M--'  'Why with an M?'	neutral	[0.7234996  0.07456621 0.04378501 0.09174486 0.032685   0.03371929]
said Alice.	neutral	[0.8888201  0.0119933  0.02579142 0.0101841  0.01190114 0.05130989]
'Why not?'	neutral	[0.74869674 0.10252059 0.06467102 0.00528651 0.01191293 0.06691226]
said the March Hare.	neutral	[0.55827534 0.04750537 0.11594428 0.02968683 0.07809185 0.17049636]
Alice was silent.	neutral	[0.80514103 0.0877272  0.03340773 0.03469956 0.00988868 0.02913585]
"The Dormouse had closed its eyes by this time, and was going off into a doze; but, on being pinched by the Hatter, it woke up again with a little shriek, and went on: '--that begins with an M, such as mouse-traps, and the moon, and memory, and muchness--you know you say things are ""much of a muchness""--did you ever see such a thing as a drawing of a muchness?'"	neutral	[0.9160741  0.03167628 0.02528935 0.00183481 0.0065365  0.01858884]
'Really, now you ask me,' said Alice, very much confused, 'I don't think--'  'Then you shouldn't talk,' said the Hatter.	neutral	[0.562204   0.15299675 0.0712876  0.0411482  0.02510159 0.14726192]
This piece of rudeness was more than Alice could bear: she got up in great disgust, and walked off; the Dormouse fell asleep instantly, and neither of the others took the least notice of her going, though she looked back once or twice, half hoping that they would call after her: the last time she saw them, they were trying to put the Dormouse into the teapot.	neutral	[0.54035765 0.0150249  0.18697636 0.01327347 0.10339724 0.14097044]
'At any rate I'll never go THERE again!'	neutral	[0.7773724  0.02389125 0.04719406 0.04262568 0.05158125 0.05733532]
said Alice as she picked her way through the wood.	neutral	[0.5974844  0.05106314 0.08779296 0.11868229 0.1162628  0.02871446]
'It's the stupidest tea-party I ever was at in all my life!'	neutral	[0.37882948 0.30396676 0.17775841 0.0212979  0.04021934 0.07792814]
Just as she said this, she noticed that one of the trees had a door leading right into it.	neutral	[0.9368268  0.01016841 0.0086707  0.03227241 0.01100137 0.00106031]
'That's very curious!'	neutral	[0.74361336 0.11902598 0.09581546 0.00453295 0.0137388  0.02327337]
she thought.	neutral	[0.90942854 0.00967812 0.02395014 0.02252482 0.02859699 0.00582142]
'But everything's curious today.	neutral	[0.83157575 0.1472635  0.00830401 0.00700415 0.00161148 0.00424106]
I think I may as well go in at once.'	neutral	[0.69006306 0.25961316 0.03950765 0.00088954 0.00136677 0.0085598 ]
And in she went.	neutral	[0.672283   0.1624551  0.05399742 0.04848881 0.02154969 0.04122596]
Once more she found herself in the long hall, and close to the little glass table.	neutral	[0.89239675 0.08735058 0.01004175 0.00589515 0.0021022  0.00221359]
'Now, I'll manage better this time,' she said to herself, and began by taking the little golden key, and unlocking the door that led into the garden.	neutral	"[6.4392143e-01 3.4555683e-01 8.4009571e-03 1.5047191e-03 9.0847483e-05
 5.2517053e-04]"
Then she went to work nibbling at the mushroom (she had kept a piece of it in her pocket) till she was about a foot high: then she walked down the little passage: and THEN--she found herself at last in the beautiful garden, among the bright flower-beds and the cool fountains.	neutral	[0.5625484  0.4068093  0.02117165 0.00736129 0.00057792 0.00153149]
CHAPTER VIII.	neutral	[0.8951889  0.04084084 0.01267503 0.01751814 0.018479   0.01529804]
The Queen's Croquet-Ground  A large rose-tree stood near the entrance of the garden: the roses growing on it were white, but there were three gardeners at it, busily painting them red.	neutral	[0.8356359  0.13437244 0.0083946  0.01878668 0.00149511 0.00131522]
Alice thought this a very curious thing, and she went nearer to watch them, and just as she came up to them she heard one of them say, 'Look out now, Five!	neutral	[0.62491566 0.03226086 0.1106566  0.04303281 0.12350371 0.06563036]
Don't go splashing paint over me like that!'	neutral	[0.35140637 0.03286897 0.1837013  0.02266828 0.0647239  0.3446312 ]
'I couldn't help it,' said Five, in a sulky tone; 'Seven jogged my elbow.'	neutral	[0.8640606  0.04310247 0.01183747 0.05238833 0.00969759 0.01891356]
On which Seven looked up and said, 'That's right, Five!	neutral	[0.6225142  0.26034212 0.08661453 0.00553594 0.0135729  0.01142029]
Always lay the blame on others!'	neutral	[0.4895689  0.02635282 0.06658169 0.01036475 0.01587935 0.3912525 ]
'YOU'D better not talk!'	neutral	[0.71972114 0.03789129 0.05802114 0.00989798 0.0211589  0.15330957]
said Five.	neutral	[0.8222382  0.06700159 0.02838163 0.01440017 0.02007191 0.04790649]
'I heard the Queen say only yesterday you deserved to be beheaded!'	surprised	[0.13649318 0.10257462 0.38178384 0.01167514 0.06008003 0.3073932 ]
'What for?'	neutral	[0.8294277  0.00603635 0.04486477 0.00851922 0.08341814 0.02773388]
said the one who had spoken first.	neutral	[0.79734486 0.05917664 0.03190912 0.02830372 0.01906793 0.0641976 ]
'That's none of YOUR business, Two!'	angry	[0.38627213 0.00716234 0.01782842 0.00074032 0.00177568 0.58622104]
said Seven.	neutral	[0.95234036 0.00477252 0.01699953 0.00246166 0.01299918 0.01042677]
'Yes, it IS his business!'	neutral	[0.7290026  0.18439192 0.06632384 0.00094542 0.00281293 0.0165234 ]
said Five, 'and I'll tell him--it was for bringing the cook tulip-roots instead of onions.'	neutral	[0.64851    0.3139719  0.01979408 0.00994772 0.00145791 0.00631846]
Seven flung down his brush, and had just begun 'Well, of all the unjust things--' when his eye chanced to fall upon Alice, as she stood watching them, and he checked himself suddenly: the others looked round also, and all of them bowed low.	neutral	[0.5040994  0.1470283  0.04471557 0.20749618 0.05650296 0.0401576 ]
'Would you tell me,' said Alice, a little timidly, 'why you are painting those roses?'	neutral	"[8.0096477e-01 1.8324751e-01 3.1879232e-03 1.0051455e-02 5.1433791e-04
 2.0339384e-03]"
Five and Seven said nothing, but looked at Two.	neutral	[0.8812591  0.04931783 0.02039156 0.00848242 0.00942715 0.031122  ]
Two began in a low voice, 'Why the fact is, you see, Miss, this here ought to have been a RED rose-tree, and we put a white one in by mistake; and if the Queen was to find it out, we should all have our heads cut off, you know.	neutral	[0.8239271  0.10030544 0.04762305 0.0019712  0.00445425 0.02171891]
So you see, Miss, we're doing our best, afore she comes, to--' At this moment Five, who had been anxiously looking across the garden, called out 'The Queen!	happy	"[1.5167095e-01 7.8895777e-01 5.7049397e-02 2.4260527e-04 1.0408231e-03
 1.0382845e-03]"
The Queen!'	neutral	[0.71359724 0.15609875 0.06450193 0.01186076 0.01218826 0.04175305]
and the three gardeners instantly threw themselves flat upon their faces.	neutral	[0.5355416  0.08260998 0.18149377 0.00824132 0.02364816 0.16846518]
There was a sound of many footsteps, and Alice looked round, eager to see the Queen.	neutral	[0.3786657  0.1299921  0.20178181 0.04838074 0.11266216 0.12851751]
First came ten soldiers carrying clubs; these were all shaped like the three gardeners, oblong and flat, with their hands and feet at the corners: next the ten courtiers; these were ornamented all over with diamonds, and walked two and two, as the soldiers did.	neutral	"[9.7765040e-01 1.8879889e-02 1.5853204e-04 2.8491306e-06 4.4141308e-07
 3.3079381e-03]"
After these came the royal children; there were ten of them, and the little dears came jumping merrily along hand in hand, in couples: they were all ornamented with hearts.	happy	"[2.3794988e-01 7.6087016e-01 1.1492175e-03 2.7464377e-05 2.2218073e-07
 3.0287392e-06]"
Next came the guests, mostly Kings and Queens, and among them Alice recognised the White Rabbit: it was talking in a hurried nervous manner, smiling at everything that was said, and went by without noticing her.	neutral	[0.6438555  0.31029385 0.02798957 0.00799625 0.00175043 0.00811441]
Then followed the Knave of Hearts, carrying the King's crown on a crimson velvet cushion; and, last of all this grand procession, came THE KING AND QUEEN OF HEARTS.	neutral	[0.54460347 0.3388913  0.06413837 0.02881379 0.0089699  0.0145832 ]
Alice was rather doubtful whether she ought not to lie down on her face like the three gardeners, but she could not remember ever having heard of such a rule at processions; 'and besides, what would be the use of a procession,' thought she, 'if people had all to lie down upon their faces, so that they couldn't see it?'	neutral	"[9.2441952e-01 5.2880459e-02 6.2142038e-03 3.8754393e-04 3.1879623e-04
 1.5779382e-02]"
So she stood still where she was, and waited.	neutral	[0.5705435  0.15767124 0.03463543 0.1704139  0.03617197 0.03056393]
When the procession came opposite to Alice, they all stopped and looked at her, and the Queen said severely 'Who is this?'	neutral	[0.521897   0.37893334 0.07343213 0.01176784 0.00700158 0.00696815]
She said it to the Knave of Hearts, who only bowed and smiled in reply.	neutral	[0.6677126  0.18609723 0.02050713 0.10756266 0.01182562 0.00629471]
'Idiot!'	neutral	[0.6165574  0.05455976 0.0957507  0.01800108 0.04362556 0.17150553]
said the Queen, tossing her head impatiently; and, turning to Alice, she went on, 'What's your name, child?'	neutral	[0.5485429  0.0149894  0.02598059 0.00650912 0.00739264 0.3965853 ]
'My name is Alice, so please your Majesty,' said Alice very politely; but she added, to herself, 'Why, they're only a pack of cards, after all.	neutral	"[8.4115571e-01 1.5593262e-01 2.8272960e-03 3.1456730e-05 4.1259059e-06
 4.8801630e-05]"
I needn't be afraid of them!'	neutral	[0.665882   0.18732402 0.10479584 0.00580679 0.01793425 0.01825711]
'And who are THESE?'	neutral	"[9.2279655e-01 3.2235909e-02 3.8774647e-02 4.0907916e-04 2.8621382e-03
 2.9216688e-03]"
said the Queen, pointing to the three gardeners who were lying round the rosetree; for, you see, as they were lying on their faces, and the pattern on their backs was the same as the rest of the pack, she could not tell whether they were gardeners, or soldiers, or courtiers, or three of her own children.	neutral	[0.7230289  0.16874686 0.09649116 0.0019448  0.00527496 0.00451337]
'How should I know?'	neutral	[0.90629566 0.02493295 0.0317232  0.00352637 0.00788415 0.02563767]
said Alice, surprised at her own courage.	neutral	[0.5095065  0.19252357 0.12627518 0.06878583 0.06273297 0.04017593]
'It's no business of MINE.'	neutral	[0.92051476 0.02857258 0.01312422 0.00147885 0.00192087 0.03438868]
The Queen turned crimson with fury, and, after glaring at her for a moment like a wild beast, screamed 'Off with her head!	angry	[0.26340207 0.06148425 0.25586107 0.01732203 0.06347551 0.33845508]
Off--'  'Nonsense!'	neutral	[0.549303   0.08981629 0.11765573 0.01053658 0.0528153  0.17987314]
said Alice, very loudly and decidedly, and the Queen was silent.	angry	[0.14517634 0.01498462 0.06745566 0.09120268 0.05148336 0.6296974 ]
The King laid his hand upon her arm, and timidly said 'Consider, my dear: she is only a child!'	happy	[0.16133349 0.5339941  0.01973    0.25765    0.01782519 0.00946722]
The Queen turned angrily away from him, and said to the Knave 'Turn them over!'	angry	[0.32625505 0.03980752 0.22871469 0.00993334 0.05235368 0.34293574]
The Knave did so, very carefully, with one foot.	neutral	[0.85857815 0.01075862 0.05398343 0.01884358 0.04479709 0.01303917]
'Get up!'	neutral	[0.545136   0.09159123 0.12223296 0.01959479 0.07552686 0.14591816]
said the Queen, in a shrill, loud voice, and the three gardeners instantly jumped up, and began bowing to the King, the Queen, the royal children, and everybody else.	happy	"[2.0807679e-01 6.2621069e-01 1.5988740e-01 5.6999206e-04 1.3550441e-03
 3.9000658e-03]"
'Leave off that!'	neutral	[0.60945064 0.06404308 0.08454458 0.00455539 0.02067218 0.21673411]
screamed the Queen.	neutral	[0.6512988  0.01283691 0.12649198 0.01308735 0.04271635 0.15356858]
'You make me giddy.'	neutral	[0.50696915 0.37383527 0.05437291 0.03545904 0.01521608 0.01414757]
And then, turning to the rose-tree, she went on, 'What HAVE you been doing here?'	neutral	[0.7786865  0.12253745 0.03679253 0.0053209  0.00621705 0.0504455 ]
'May it please your Majesty,' said Two, in a very humble tone, going down on one knee as he spoke, 'we were trying--'  'I see!'	happy	[0.21722306 0.7155583  0.03509133 0.02540208 0.00294145 0.00378378]
said the Queen, who had meanwhile been examining the roses.	neutral	[0.3732692  0.0661047  0.36198983 0.02613075 0.14065124 0.03185434]
'Off with their heads!'	angry	[0.27264878 0.04263682 0.18301003 0.01695104 0.04647158 0.43828177]
and the procession moved on, three of the soldiers remaining behind to execute the unfortunate gardeners, who ran to Alice for protection.	neutral	[0.64051425 0.02802561 0.09079775 0.09090904 0.12395874 0.02579455]
'You shan't be beheaded!'	angry	[0.21803233 0.03931761 0.24223252 0.03363679 0.07207065 0.3947101 ]
said Alice, and she put them into a large flower-pot that stood near.	neutral	"[9.4452745e-01 1.8989516e-02 1.1079068e-02 7.5817358e-04 1.9844437e-03
 2.2661377e-02]"
The three soldiers wandered about for a minute or two, looking for them, and then quietly marched off after the others.	neutral	[0.8107802  0.13263783 0.02597702 0.01623563 0.00727563 0.00709364]
'Are their heads off?'	neutral	[0.8505513  0.09510399 0.03564847 0.00613322 0.00717671 0.00538628]
shouted the Queen.	neutral	[0.8255913  0.01909524 0.02228512 0.00719338 0.01578919 0.11004573]
'Their heads are gone, if it please your Majesty!'	neutral	[0.41578066 0.2972195  0.10835407 0.07593645 0.03982456 0.06288481]
the soldiers shouted in reply.	neutral	[0.6484194  0.0671519  0.14467725 0.01674419 0.04234855 0.08065866]
'That's right!'	neutral	[0.74374235 0.15662028 0.07791995 0.00168824 0.00704376 0.01298545]
shouted the Queen.	neutral	[0.67772627 0.06002278 0.08119527 0.04432106 0.06751373 0.06922086]
'Can you play croquet?'	neutral	"[9.7780877e-01 5.6465217e-03 5.0363769e-03 1.5058502e-04 2.3759981e-03
 8.9817122e-03]"
The soldiers were silent, and looked at Alice, as the question was evidently meant for her.	neutral	[0.92922425 0.03067692 0.01710331 0.01389112 0.00491236 0.00419202]
'Yes!'	neutral	[0.7682729  0.07498409 0.07890955 0.01940543 0.03061423 0.02781376]
shouted Alice.	neutral	"[9.0956998e-01 1.9534368e-02 1.3369270e-02 5.5807619e-04 2.4295268e-03
 5.4538749e-02]"
'Come on, then!'	neutral	[0.61288315 0.29262385 0.07771334 0.00442971 0.00456203 0.00778791]
roared the Queen, and Alice joined the procession, wondering very much what would happen next.	neutral	[0.9050783  0.01142389 0.0244806  0.01363452 0.04040028 0.00498241]
'It's--it's a very fine day!'	happy	[0.43933055 0.50343    0.03060674 0.01080444 0.00198756 0.0138407 ]
said a timid voice at her side.	neutral	[0.7390918  0.12743765 0.01088509 0.10498806 0.00968629 0.00791101]
She was walking by the White Rabbit, who was peeping anxiously into her face.	neutral	[0.6478475  0.05563323 0.09962146 0.03678163 0.1116702  0.04844598]
'Very,' said Alice: '--where's the Duchess?'	neutral	[0.77056783 0.08669554 0.08779889 0.01178116 0.02451264 0.01864398]
'Hush!	neutral	[0.89624304 0.04552845 0.02628066 0.00352135 0.00784768 0.0205789 ]
Hush!'	neutral	[0.70617855 0.05035127 0.10706384 0.01880307 0.04800677 0.06959654]
said the Rabbit in a low, hurried tone.	neutral	[0.7219495  0.0235521  0.07996421 0.02820252 0.09310718 0.05322446]
He looked anxiously over his shoulder as he spoke, and then raised himself upon tiptoe, put his mouth close to her ear, and whispered 'She's under sentence of execution.'	neutral	[0.54581714 0.04154199 0.03695172 0.24907449 0.10151125 0.02510347]
'What for?'	neutral	[0.83310044 0.06838635 0.03735989 0.02825123 0.01493061 0.01797152]
said Alice.	neutral	[0.6711867  0.07289924 0.07812087 0.0383084  0.04261965 0.09686518]
"'Did you say ""What a pity!""?'"	neutral	[0.6544195  0.19812214 0.07513337 0.02804317 0.01732458 0.02695735]
the Rabbit asked.	neutral	[0.8885293  0.08677121 0.00625859 0.00695554 0.00126523 0.01022014]
'No, I didn't,' said Alice: 'I don't think it's at all a pity.	neutral	[0.5805017  0.3876333  0.02051298 0.00685246 0.00096186 0.00353777]
"I said ""What for?""'"	neutral	[0.72687745 0.0430071  0.05241414 0.04494515 0.0637742  0.0689819 ]
'She boxed the Queen's ears--' the Rabbit began.	neutral	[0.5050893  0.09119988 0.12865369 0.02750616 0.06309444 0.18445657]
Alice gave a little scream of laughter.	neutral	[0.65133786 0.0302643  0.08193105 0.10365969 0.1212704  0.01153674]
'Oh, hush!'	surprised	[0.19906242 0.15395248 0.41591793 0.01664783 0.08609803 0.12832135]
the Rabbit whispered in a frightened tone.	neutral	[0.65679055 0.01468703 0.09934032 0.03905328 0.167732   0.02239678]
'The Queen will hear you!	neutral	[0.8453023  0.05906187 0.05389658 0.0065793  0.01718388 0.01797615]
You see, she came rather late, and the Queen said--'  'Get to your places!'	neutral	[0.573613   0.18712345 0.08385501 0.02736777 0.02351878 0.10452207]
shouted the Queen in a voice of thunder, and people began running about in all directions, tumbling up against each other; however, they got settled down in a minute or two, and the game began.	happy	[0.23459284 0.47834504 0.27440628 0.00121826 0.00608116 0.00535642]
Alice thought she had never seen such a curious croquet-ground in her life; it was all ridges and furrows; the balls were live hedgehogs, the mallets live flamingoes, and the soldiers had to double themselves up and to stand on their hands and feet, to make the arches.	neutral	[0.643402   0.09116801 0.06959221 0.0435442  0.04072961 0.11156403]
The chief difficulty Alice found at first was in managing her flamingo: she succeeded in getting its body tucked away, comfortably enough, under her arm, with its legs hanging down, but generally, just as she had got its neck nicely straightened out, and was going to give the hedgehog a blow with its head, it WOULD twist itself round and look up in her face, with such a puzzled expression that she could not help bursting out laughing: and when she had got its head down, and was going to begin again, it was very provoking to find that the hedgehog had unrolled itself, and was in the act of crawling away: besides all this, there was generally a ridge or furrow in the way wherever she wanted to send the hedgehog to, and, as the doubled-up soldiers were always getting up and walking off to other parts of the ground, Alice soon came to the conclusion that it was a very difficult game indeed.	neutral	[0.5059748  0.09815062 0.24499002 0.00664274 0.0566502  0.08759163]
The players all played at once without waiting for turns, quarrelling all the while, and fighting for the hedgehogs; and in a very short time the Queen was in a furious passion, and went stamping about, and shouting 'Off with his head!'	happy	[0.15404205 0.585134   0.16465221 0.01815406 0.0524567  0.02556095]
or 'Off with her head!'	neutral	[0.593508   0.04336679 0.14497313 0.01535338 0.08105212 0.12174656]
about once in a minute.	neutral	"[9.8744643e-01 7.0900894e-03 3.1778030e-03 3.1317354e-04 6.4228044e-04
 1.3303652e-03]"
Alice began to feel very uneasy: to be sure, she had not as yet had any dispute with the Queen, but she knew that it might happen any minute, 'and then,' thought she, 'what would become of me?	neutral	[0.5765927  0.13210486 0.08572587 0.10434902 0.08357566 0.01765185]
They're dreadfully fond of beheading people here; the great wonder is, that there's any one left alive!'	neutral	[0.4089503  0.12862855 0.22071902 0.01539178 0.08328799 0.14302231]
